ip_address,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,ipvoid_detection_count,risk_recommended_pulsedive,virustotal_reputation,virustotal_malicious,virustotal_suspicious,virustotal_undetected,virustotal_harmless
64.227.137.31,100,3356,808,10,low,-2,13,4,26,51
117.33.143.246,100,781,397,8,medium,-2,11,3,26,54
45.148.10.203,100,19662,1030,21,medium,-5,17,4,26,47
218.92.0.223,100,42540,515,16,low,-7,19,2,25,48
80.94.95.81,100,74906,578,14,medium,-4,16,2,26,50
101.126.88.93,100,2140,702,9,medium,-3,8,4,28,54
59.36.84.54,100,1973,685,10,low,-1,10,3,28,53
128.14.231.72,100,410,124,8,low,-2,12,4,27,51
114.217.37.170,100,2630,764,13,low,-5,8,3,28,55
74.50.80.120,100,617,30,5,medium,0,8,3,28,55
218.92.0.227,100,43676,515,15,none,-3,17,2,26,49
52172141143,100,2338,712,10,low,-3,9,3,27,55
185255212178,100,1275,242,19,medium,-8,13,3,26,52
218.92.0.210,100,11909,235,12,low,-1,15,2,27,50
47.254.244.66,100,2081,80,8,low,0,7,2,30,55
218.92.0.198,100,42748,498,15,low,-16,19,2,25,48
178.215.236.52,100,9261,91,11,medium,0,12,2,26,54
92.255.85.253,100,56748,768,17,medium,-6,16,2,26,50
2001:df7:3c00:800a::446:34dc,100,1561,29,2,medium,0,0,0,94,0
113.137.38.202,100,807,399,10,medium,-3,13,3,26,52
218.92.0.217,100,43679,513,15,low,-3,18,2,25,49
169.45.80.166,100,79,54,2,low,-1,5,5,28,56
134.209.75.204,100,84,32,4,none,0,8,2,31,53
49.13.198.178,100,1150,482,10,low,-3,10,3,27,54
188138141251,100,1259,490,9,medium,-1,12,4,26,52
94.20.154.159,100,3452,858,10,medium,-4,13,4,25,52
218.92.0.226,100,42883,512,16,low,-3,18,2,25,49
103218122171,100,310,197,7,medium,-1,9,3,28,54
77.91.78.195,100,3970,877,10,medium,-3,14,3,26,51
195.190.104.66,100,7152,917,10,none,-5,14,4,27,49
80.94.95.235,100,31879,298,13,medium,-3,17,2,25,50
206.168.34.34,100,1329,278,15,low,-1,11,2,30,51
218.92.0.218,100,40498,513,16,low,-3,18,2,25,49
47.251.93.207,100,2083,90,6,low,0,10,2,30,52
118.193.35.91,100,1354,511,8,low,-3,14,3,27,50
47.94.83.176,100,1302,88,7,low,-1,9,3,28,54
64.62.197.202,100,2658,176,10,none,-1,12,2,28,52
14225212171,100,525,285,5,low,-2,10,3,27,54
182.151.49.19,100,753,382,11,medium,-2,11,4,26,53
196.0.120.211,100,5888,919,11,critical,-4,14,3,27,50
125136217145,100,1103,176,17,low,-3,10,4,27,53
171.250.74.75,100,1231,483,7,low,-2,11,4,26,53
116.198.243.30,100,886,422,11,medium,-2,12,3,26,53
193.150.87.70,100,1636,228,15,medium,-3,9,3,28,54
78128113250,100,18566,125,11,low,-1,11,4,26,53
114.98.239.130,100,1794,608,10,low,-4,14,3,27,50
221.12.175.66,100,698,172,12,low,0,11,3,26,54
159.89.104.182,100,525,97,8,low,-2,10,4,28,52
58.19.103.233,100,76,52,4,low,0,9,3,28,54
14103161189,100,768,387,8,low,-3,10,4,27,53
79.124.62.126,100,20738,143,9,medium,-2,8,2,28,56
193218118137,100,639,158,14,medium,0,12,4,25,53
193.163.125.55,100,4223,84,7,medium,0,7,2,30,55
140246229104,100,289,174,9,medium,-1,10,3,27,54
60.188.20.218,100,752,371,9,low,0,11,3,27,53
218.92.0.178,100,7348,122,10,low,-2,18,2,25,49
36.26.77.242,100,69,59,5,medium,0,9,3,28,54
103.193.151.10,100,255,169,10,medium,-1,11,4,27,52
120.39.211.167,100,2252,659,14,medium,-4,11,5,27,51
51195149120,100,3328,825,11,low,-4,12,4,26,52
46.105.49.104,100,4517,888,11,medium,-5,9,4,28,53
174.103.69.21,100,1921,96,6,none,-1,10,3,29,52
66240236109,100,5750,332,19,low,-10,12,3,27,52
185.242.226.4,100,8369,102,10,low,-53,9,4,27,54
103.93.248.247,100,4809,897,11,low,-4,14,3,27,50
117.6.44.221,100,5873,934,12,low,-4,14,2,27,51
40.67.216.141,100,1633,258,16,low,-3,9,3,26,56
121202154100,100,990,166,14,low,-4,12,4,27,51
195.178.110.65,100,20564,257,12,medium,-2,12,5,26,51
124.48.99.78,100,29,26,4,low,0,9,3,28,54
178128153137,100,8922,1018,15,low,-3,14,3,26,51
51.254.0.4,100,935,79,9,low,0,11,3,26,54
200.151.9.74,100,534,188,15,low,-1,11,3,28,52
2.57.122.189,100,8007,793,20,medium,-4,17,2,25,50
149.62.188.108,100,2210,679,11,medium,-1,9,4,27,54
222255115237,100,3359,840,12,none,-16,19,2,27,46
153.141.247.73,100,245,95,5,low,0,9,3,28,54
94102156227,100,100,56,4,medium,0,6,3,28,57
185248163133,100,2541,737,11,medium,-3,12,3,26,53
14.241.224.35,100,1050,464,10,low,-2,12,3,26,53
110.13.51.221,100,221,127,7,low,0,8,4,27,55
161.35.21.48,100,7257,1014,13,low,-4,15,3,27,49
218.92.0.203,100,11359,232,14,low,-17,17,2,25,50
88.170.164.47,100,95,40,6,low,0,11,3,26,54
51210241185,100,1898,600,9,none,-3,6,4,28,56
178.128.44.59,100,389,252,14,low,0,12,3,26,53
178.128.38.104,100,262,151,7,low,0,8,3,28,55
57.129.64.10,100,2373,285,15,low,-2,13,3,26,52
162.214.191.42,100,245,68,7,low,0,8,3,28,55
191103121105,100,1781,258,22,low,-7,12,3,27,52
175.27.234.145,100,170,111,7,low,0,7,3,28,56
218.92.0.230,100,41039,513,16,low,-3,19,2,25,48
211.243.43.58,100,1242,237,21,low,-5,14,3,28,49
121.142.87.218,100,5879,927,14,low,-16,10,3,28,53
216218206105,100,2334,87,10,none,-2,9,2,29,54
49.7.154.220,100,3109,780,9,medium,-4,13,3,27,51
218.92.0.112,100,40319,449,18,low,-7,18,2,26,48
105.96.53.85,100,401,53,8,low,0,11,4,27,52
140246227243,100,470,277,12,medium,-1,10,4,26,54
161.132.39.223,100,4236,895,9,medium,-3,13,3,27,51
39.164.91.67,100,944,146,12,low,-2,9,4,28,53
159.65.44.228,100,1063,460,5,low,-2,10,3,26,55
194.48.251.176,100,298,37,6,medium,0,9,3,27,55
185213164111,100,803,382,10,medium,-1,10,4,27,53
1.95.129.11,100,196,99,5,medium,0,9,3,28,54
95.214.27.32,100,9436,39,10,medium,0,12,2,28,52
103.29.185.162,100,1225,186,18,low,-4,8,4,29,53
114.242.9.121,100,2556,740,10,low,-2,11,4,28,51
172.202.158.72,100,682,98,9,none,0,5,4,28,57
64.227.20.82,100,1898,634,9,low,-4,13,4,26,51
178.62.227.127,100,4218,139,9,low,0,6,3,29,56
37.221.208.3,99,36,31,3,medium,-1,8,3,28,55
218.92.0.232,100,41856,519,16,low,-4,19,2,25,48
82.65.0.186,100,2111,687,7,low,-4,9,5,25,55
150.223.65.241,100,545,301,9,medium,-2,13,3,27,51
178.20.231.247,100,453,135,12,none,-1,13,3,26,52
27.45.233.206,100,154,63,9,low,0,9,3,28,54
111.70.32.50,100,296,97,8,critical,-1,8,4,27,55
203.171.21.222,100,4333,903,12,low,-4,10,4,28,52
183.131.84.38,100,3015,815,11,medium,-3,15,3,27,49
110.4.1.154,100,1516,237,14,low,-7,11,3,28,52
47103157194,100,2379,250,13,low,-1,14,3,26,51
27.150.25.222,100,1045,451,10,medium,-3,11,3,26,54
103.159.82.156,100,639,173,13,medium,0,10,3,27,54
218.92.0.229,100,43178,494,16,low,-3,19,2,25,48
218.92.0.225,100,32735,436,15,low,-3,18,2,25,49
95.214.53.211,100,5200,305,14,medium,-1,13,3,26,52
45200149131,100,912,102,8,medium,0,16,2,25,51
218.92.0.235,100,38841,515,16,low,-3,18,2,25,49
147182219126,100,1132,479,7,low,-3,14,3,26,51
191205244221,100,418,100,12,low,-1,11,3,27,53
45.249.80.121,100,858,163,10,high,-1,10,4,26,54
218.78.23.234,100,1722,626,10,low,-3,12,4,26,52
47106201134,100,424,78,10,low,-1,11,4,27,52
193.70.87.152,100,7200,971,11,none,-4,11,3,28,52
104.236.208.58,100,1078,481,6,low,-1,10,4,26,54
78132137230,100,1132,176,14,low,-2,10,4,27,53
176.124.202.21,100,1859,629,11,medium,-3,14,3,26,51
80.94.95.239,100,39678,363,17,medium,-3,16,2,26,50
103.160.154.23,100,6222,942,12,medium,-6,10,4,28,52
177.43.106.73,100,1103,187,15,low,-1,10,5,27,52
203189219176,100,580,313,10,medium,-2,9,4,27,54
200.217.73.138,100,502,154,15,low,-2,12,4,27,51
179.43.133.122,100,11017,186,11,medium,-1,9,4,27,54
218.92.0.231,100,41768,517,14,low,-3,18,2,26,48
193163125210,100,4163,68,8,low,0,6,4,28,56
14.29.190.237,100,565,308,8,low,-1,11,3,28,52
206.168.34.129,100,8798,75,10,low,0,10,3,26,55
117.50.52.155,100,824,395,10,low,-2,10,4,28,52
65.76.26.86,100,439,109,12,low,-2,13,3,27,51
121.43.234.8,100,860,126,11,low,-1,12,3,26,53
60219112190,100,404,93,11,low,0,10,3,29,52
65.49.1.46,100,2662,175,13,none,-2,11,2,29,52
61.171.107.54,100,3219,846,11,low,-5,10,2,29,53
186118142216,100,6353,961,12,medium,-5,12,3,27,52
142.93.233.103,100,1622,597,13,low,-2,12,4,25,53
103.102.230.5,100,27321,104,6,medium,0,11,4,26,53
92.62.243.154,100,925,167,15,high,-5,8,4,28,54
165.73.201.217,100,1108,472,6,medium,-3,11,3,26,54
71.6.134.232,100,8138,279,13,medium,-1,15,2,28,49
3136208236,100,14966,158,8,none,-1,4,3,29,58
103.40.163.249,100,990,89,7,medium,-1,9,3,28,54
35.224.42.65,100,6642,945,15,none,-5,9,3,29,53
196.216.81.126,100,1241,191,14,medium,-5,11,3,28,52
87.120.113.50,100,3420,57,6,medium,0,6,3,28,57
47.251.73.174,100,2049,83,7,low,0,9,3,29,53
195.19.102.197,100,6350,949,12,none,-5,10,4,27,53
14.29.64.91,100,2400,695,14,low,-16,16,3,27,48
91134248235,100,554,103,6,none,-1,8,3,28,55
182.237.2.220,100,111,25,4,low,0,6,2,29,57
154.216.16.118,100,10049,178,15,medium,-2,14,2,25,53
61.220.44.44,100,7517,955,14,none,-5,15,3,28,48
14.98.182.163,100,761,174,14,critical,-1,10,3,27,54
223.197.186.7,100,5613,914,14,none,-17,14,4,28,48
52.165.31.201,100,2128,677,9,low,-3,9,4,26,55
156.238.99.112,100,743,340,9,medium,-3,10,3,26,55
88.147.30.59,100,8766,1030,12,medium,-4,9,5,28,52
103194243187,100,851,181,8,high,-5,12,4,27,51
220.246.43.167,100,660,148,12,low,0,13,3,26,52
159.65.146.196,100,4994,893,13,low,-4,13,4,27,50
103.196.21.91,100,147,79,7,medium,0,7,3,28,56
140.238.61.247,100,40,29,5,low,0,4,2,28,60
157.245.201.51,100,693,120,10,low,-1,10,3,28,53
159.203.2.142,100,6609,936,12,low,-4,15,3,27,49
159.253.36.5,100,6340,978,11,medium,-4,15,4,26,49
8218174144,100,133,51,6,low,0,10,3,26,55
193163125150,100,4409,84,9,low,0,9,3,29,53
206.168.34.135,100,8819,80,9,low,0,10,3,27,54
83.222.190.94,100,20388,128,7,medium,-1,12,3,26,53
113125178223,100,455,272,9,medium,-1,10,4,26,54
104236145128,100,992,197,17,none,-2,10,3,27,54
46.105.97.186,100,380,86,5,medium,-1,10,3,28,53
111.238.174.6,100,6159,934,11,none,-6,9,4,28,53
218.78.62.201,100,2130,666,12,low,-4,7,5,27,55
156.232.9.164,100,2494,718,11,medium,-3,9,4,28,53
178.215.224.50,100,4679,106,9,medium,-1,9,3,25,57
200.88.158.220,100,173,133,9,medium,0,10,4,27,53
74.178.107.47,100,44,28,3,low,0,5,4,28,57
103.235.68.52,100,3553,795,11,medium,-6,9,5,27,53
54.38.190.246,100,6562,986,10,low,-5,12,4,28,50
92.255.85.107,100,55024,749,17,medium,-5,16,2,26,50
92.63.197.210,100,14691,125,8,medium,-3,14,3,27,50
120.226.129.7,100,239,63,11,low,-1,7,5,27,55
199.45.154.187,100,9528,143,10,low,-1,11,3,26,54
122.53.133.167,100,2364,678,13,none,-4,11,2,29,52
113.137.34.110,100,2446,739,11,medium,-3,8,3,28,55
49.65.1.179,100,1104,196,17,low,-4,11,4,27,52
186.233.219.34,100,675,134,13,low,-2,8,3,28,55
36.111.176.54,100,2774,774,12,medium,-4,11,3,28,52
167.99.13.19,100,1887,125,10,low,-2,11,4,25,54
172.172.130.74,100,2332,243,7,low,-2,4,5,28,57
62.36.40.104,100,4649,923,13,low,-5,15,3,28,48
172169205242,100,792,149,10,none,0,5,3,29,57
192141148103,100,1761,465,10,medium,-2,12,3,27,52
206.168.34.128,100,8863,83,10,low,0,9,3,28,54
218.92.0.164,100,4237,87,9,low,0,13,2,26,53
51.222.86.89,100,937,392,7,low,-2,11,3,26,54
191.223.75.89,100,2952,742,10,medium,-4,11,4,26,53
185.242.226.6,100,8400,105,9,low,-1,11,3,28,52
77.37.136.47,100,6184,940,14,none,-4,10,4,28,52
218.15.224.102,100,891,164,13,low,-1,13,4,26,51
58.229.51.205,100,1466,227,15,low,-5,10,5,27,52
207.90.244.11,100,5244,314,18,low,-5,13,2,27,52
192.42.116.186,100,230,74,12,low,-1,12,5,26,51
185.213.174.14,100,1629,606,8,medium,-2,13,3,26,52
112.96.224.241,100,467,133,12,low,0,9,4,26,55
192.42.116.200,100,297,92,14,low,-2,11,5,26,52
121.202.154.62,100,1029,167,17,low,-4,9,4,29,52
40.77.64.136,100,1988,669,11,low,-2,6,3,27,58
180.103.100.64,100,2018,650,10,low,-2,13,3,26,52
183.108.254.67,100,1062,167,19,low,-4,11,4,27,52
197.245.94.30,100,178,91,5,medium,0,5,2,29,58
94.141.120.86,100,3349,206,12,medium,-2,11,2,27,54
183.56.201.7,100,1353,517,7,medium,-2,13,4,27,50
64.62.156.98,100,2831,196,12,none,0,13,3,28,50
113107141226,100,165,70,5,low,0,5,1,29,59
218.92.0.216,100,42819,529,16,low,-7,19,2,25,48
44.213.110.25,100,186,127,3,low,0,2,5,29,58
154.213.184.18,100,35059,152,13,medium,-3,12,2,27,53
45.158.8.66,100,339,128,5,high,0,12,4,26,52
45.148.10.172,100,2966,289,7,medium,-1,11,4,26,53
178215236213,100,681,203,9,medium,-1,11,2,26,55
94156105167,100,2151,84,8,medium,-2,9,4,27,54
34.92.198.176,100,6388,933,13,none,-4,12,4,26,52
152.32.218.226,100,5118,958,13,low,-2,12,3,27,52
183.3.133.47,100,1038,153,15,low,-3,8,3,28,55
103.52.114.67,100,1961,641,10,medium,-3,10,4,28,52
14.23.77.27,100,1018,176,18,low,-3,13,2,27,52
52228152151,100,843,161,11,none,-36,3,3,28,60
87.120.93.10,100,9434,506,17,medium,-36,14,3,27,50
13.64.251.246,100,970,156,11,none,-3,8,3,27,56
165.154.254.28,100,267,65,5,medium,0,11,3,26,54
77.51.214.170,100,1332,174,15,none,-8,13,3,27,51
80.82.77.202,100,20028,457,22,low,-60,14,2,29,49
109.67.147.54,100,1020,205,16,high,-3,12,3,26,53
179.43.163.250,100,4271,449,9,medium,-3,15,3,26,50
149.137.247.4,100,169,109,3,medium,0,5,5,28,56
185.242.226.41,100,10236,114,11,low,-1,11,2,29,52
103122162128,100,55,27,2,medium,0,3,5,28,58
191.0.69.202,100,1012,181,17,low,-2,10,4,28,52
118.193.39.117,100,1491,140,7,low,-1,13,2,29,50
193163125115,100,3867,72,7,low,-1,6,3,29,56
94156177214,100,504,139,12,medium,0,15,2,25,52
175.125.93.101,100,7408,252,11,none,-2,11,3,27,53
218.92.0.141,100,8698,115,7,low,0,15,2,25,52
185.242.226.42,100,10165,110,9,low,-1,9,3,28,54
94182176185,100,4834,898,10,medium,-3,14,4,26,50
24229173139,100,387,59,7,medium,0,8,3,29,54
185.242.226.54,100,7366,103,9,low,-1,10,3,28,53
178.215.236.93,100,362,112,8,medium,-1,9,3,27,55
183.47.48.178,100,1576,227,14,low,-5,9,4,29,52
154203197251,100,179,64,7,medium,0,7,3,28,56
59.3.76.218,100,5571,898,14,low,-3,12,3,28,51
103.154.77.2,100,6089,881,12,low,-6,15,3,27,49
81.230.83.162,100,340,81,6,low,0,8,3,27,56
65.49.1.30,100,2813,189,14,none,-1,11,3,29,51
45.148.10.240,100,26280,952,17,medium,-5,13,3,27,51
4.145.80.233,100,94,66,6,low,-1,5,3,27,59
12.197.49.58,100,643,172,15,low,0,12,3,26,53
34.171.131.12,100,1533,516,14,low,0,11,4,27,52
91191209234,100,14084,130,11,medium,0,8,3,29,54
171.244.37.97,100,5668,932,13,medium,-4,14,3,27,50
141.95.162.177,100,7687,978,15,none,-5,14,3,27,50
89248163200,100,26112,116,9,low,-6,6,3,28,57
198.98.49.237,100,430,53,2,low,0,8,3,29,54
95181160107,100,3059,782,7,medium,-3,11,4,27,52
196219138205,100,1242,502,9,medium,-2,11,4,26,53
91.134.186.54,95,141,52,5,high,0,6,3,29,56
207.90.244.14,100,9599,355,18,low,-5,11,2,30,51
45.206.58.170,100,3188,807,10,medium,-2,9,5,26,54
144.217.39.131,100,2404,718,7,none,-3,8,4,28,54
62.99.74.172,100,10717,1005,12,low,-5,12,4,28,50
89.109.4.133,100,570,144,15,critical,-1,9,3,27,55
65.49.1.56,100,2799,182,11,none,0,10,2,30,52
185213164213,100,4930,894,12,high,-3,11,4,26,53
14241229103,100,7295,1011,8,none,-4,11,4,27,52
119.73.179.114,100,5021,888,10,high,-15,11,3,28,52
39109122145,100,4488,846,13,medium,-5,17,3,27,47
193.163.125.81,100,4465,75,8,low,0,5,3,29,57
49.36.41.0,100,5406,952,11,low,-1,11,6,27,50
222.73.56.10,100,3680,841,12,none,-4,15,3,27,49
121202152221,100,1165,163,17,low,-5,11,3,28,52
137.184.0.177,100,5623,910,15,medium,-5,15,3,28,48
106.51.64.158,100,13246,1001,10,low,-6,7,5,28,54
188.254.50.180,100,3636,797,10,none,-5,12,4,28,50
218.92.0.143,100,6004,81,8,low,0,12,2,26,54
112.5.76.239,100,1118,180,13,low,-5,12,4,28,50
14.99.66.28,100,3969,846,11,medium,-1,15,3,27,49
1.183.1.82,100,600,144,12,low,0,9,3,27,55
210.17.230.213,100,5347,948,12,medium,-18,12,5,27,50
120.46.47.106,100,291,56,3,medium,0,5,4,29,56
96.69.13.140,100,4776,904,10,none,-16,14,5,27,48
34.41.17.26,100,6783,952,14,none,-5,11,3,30,50
103.102.230.4,100,26494,110,6,medium,-3,10,4,27,53
185.255.91.236,100,890,412,10,medium,-2,6,5,27,56
194.48.251.224,100,872,85,9,medium,0,6,3,28,57
34.128.77.56,100,6084,920,13,none,-5,10,3,29,52
172.91.97.228,100,980,190,17,none,-6,11,4,29,50
194.48.251.20,100,4034,98,11,medium,0,12,3,26,53
218.21.246.234,100,482,114,17,low,-4,8,4,28,54
58.38.13.83,100,303,100,11,low,0,8,3,28,55
159.89.83.44,100,2804,85,7,low,0,12,4,26,52
95.167.225.76,100,11045,984,12,low,-5,13,4,27,50
186.64.114.40,100,194,72,5,unknown,0,6,2,28,58
39155191166,100,1119,199,17,low,-4,10,5,28,51
94.52.209.104,100,3226,796,13,critical,-5,12,4,28,50
200.107.84.80,100,155,62,8,low,-1,6,3,30,55
125228185131,100,5718,930,13,none,-4,15,3,27,49
94.154.82.35,100,808,161,12,low,-1,6,4,27,57
223.197.172.72,100,467,157,13,none,-6,12,4,27,51
65.49.1.75,100,2797,184,11,none,-1,12,3,28,51
35203109161,100,396,210,5,none,-1,5,3,29,57
83.222.190.54,100,201,88,8,medium,-1,11,2,29,52
94.254.87.219,100,2087,679,10,medium,-3,11,4,26,53
194.31.64.62,100,3838,221,10,low,-2,5,4,28,57
218.92.0.145,100,1741,67,7,low,-16,14,2,27,51
78.128.114.90,100,9359,123,6,low,-2,9,3,29,53
156.0.130.38,100,185,94,4,medium,-2,7,2,30,55
92.205.231.90,100,6154,907,12,none,-5,11,3,28,52
216.218.206.92,100,2425,100,9,none,0,6,3,29,56
165.154.41.47,100,1647,116,8,low,0,9,4,29,52
65190102227,100,7058,1012,10,medium,-5,14,3,27,50
176109187220,100,811,355,4,medium,-2,8,5,27,54
172206142149,100,686,94,8,none,-1,5,4,28,57
87120186102,100,2152,699,11,medium,-2,11,4,26,53
154.68.39.6,100,14033,971,16,low,-6,12,4,28,50
116.98.170.252,100,487,256,11,low,0,12,4,26,52
45.192.176.21,100,6777,958,12,medium,-5,14,3,28,49
167.71.29.188,100,1141,467,6,low,-3,7,4,28,55
77.90.185.17,100,3222,56,10,medium,-1,6,3,28,57
156238100176,100,468,235,4,medium,-1,11,3,27,53
14.63.160.31,100,6285,927,13,low,-4,14,4,27,49
78.153.130.75,100,5390,900,9,low,-5,15,2,27,50
14.39.132.209,100,762,379,10,low,-2,17,3,26,48
218.92.0.222,100,42282,528,14,low,-3,18,2,25,49
203.145.34.222,100,4741,882,13,low,-4,11,3,27,53
157173126118,100,286,141,5,low,0,10,3,28,53
159.65.147.20,100,6555,951,14,low,-5,12,3,27,52
51.79.65.10,100,2591,762,5,low,-4,12,5,26,51
161.35.11.139,100,1768,616,11,low,-3,10,4,26,54
98.110.70.2,100,1159,214,15,critical,-3,11,4,26,53
151.80.61.151,100,7518,990,11,none,-4,11,4,27,52
43242247141,100,6134,937,13,medium,-4,11,3,28,52
218.92.0.187,100,8141,109,8,low,0,15,2,25,52
125124103179,100,1038,479,10,medium,-3,12,3,28,51
60.191.20.210,100,9850,35,13,low,-1,12,3,28,51
222160227134,100,1400,220,17,none,-8,11,5,27,51
80.75.212.58,100,5874,160,11,medium,-2,5,4,28,57
103.65.202.44,100,1072,357,5,medium,0,6,4,28,56
103.191.74.155,100,1000,426,8,medium,-2,14,4,26,50
182.43.240.135,100,1955,593,11,medium,-2,12,3,26,53
218.92.0.205,100,11625,232,17,low,-13,18,2,25,49
134.122.20.14,100,498,298,8,low,-3,10,4,26,54
51.8.223.41,100,959,145,9,none,0,5,4,28,57
206.189.230.76,100,7351,981,13,low,-4,12,2,27,53
152.32.158.35,100,9495,1135,14,low,-6,13,3,26,52
111.113.0.122,100,2441,716,11,low,-3,10,4,28,52
47250129174,100,2093,82,6,low,0,7,3,29,55
103.48.192.48,100,6390,932,13,medium,-17,14,3,27,50
82.197.68.89,100,281,140,5,medium,0,7,4,27,56
165.22.47.52,100,1896,124,9,low,-3,11,3,27,53
57.128.182.5,100,1891,668,11,low,-2,11,3,26,54
121229205214,100,1189,205,15,medium,-3,10,4,28,52
199.45.154.112,100,1433,287,16,low,-2,12,2,28,52
103142199203,100,242,162,8,medium,0,11,4,26,53
218.92.0.221,100,42988,502,14,low,-7,19,2,26,47
36.26.90.138,100,400,240,4,medium,-3,12,3,26,53
47.251.85.24,100,2039,83,7,low,0,9,2,29,54
104.28.157.117,100,856,381,8,low,-2,5,4,29,56
206.168.34.162,100,10148,139,12,low,-3,10,3,27,54
150.139.194.15,100,826,387,10,medium,-3,13,3,26,52
128199128185,100,357,82,6,low,0,6,3,27,58
206.168.34.203,100,1136,213,13,low,0,11,3,28,52
168220235232,100,456,228,6,medium,-1,8,4,28,54
184.168.109.20,100,183,65,6,critical,0,7,4,28,55
154213186172,100,9405,86,7,medium,0,6,2,27,59
95.87.248.223,100,1146,214,21,critical,-8,15,4,27,48
202.95.12.147,100,6796,911,20,medium,-4,17,3,25,49
173248237221,100,6656,938,12,low,-5,13,4,27,50
45.59.112.121,100,3233,807,11,medium,-5,13,4,26,51
222.128.28.51,100,1074,196,16,low,-5,9,4,28,53
223245214109,100,1519,543,10,low,-3,10,4,26,54
46.28.24.130,100,7416,980,14,medium,-4,13,4,27,50
118.70.170.120,100,7273,963,13,low,-5,11,4,28,51
89.188.76.74,100,7125,87,8,medium,0,11,4,26,53
